mol_idx,top_score,uq,error,frequency,tier
0,0.95664024,0.043359756,0,74,3) common (21-100)
1,0.219547,0.78045297,0,0,1) very rare (1-5)
2,0.9529374,0.047062576,0,74,3) common (21-100)
3,0.2203014,0.7796986,1,0,1) very rare (1-5)
4,0.028172731,0.97182727,1,0,1) very rare (1-5)
5,0.3597652,0.6402348,0,7,2) rare (6-20)
6,0.4625343,0.5374657,0,2,1) very rare (1-5)
7,0.83375794,0.16624206,0,23,3) common (21-100)
8,0.41755486,0.58244514,1,4,1) very rare (1-5)
9,0.26010388,0.7398961,1,0,1) very rare (1-5)
10,0.06183529,0.9381647,1,0,1) very rare (1-5)
11,0.45047244,0.5495275,0,3,1) very rare (1-5)
12,0.13127989,0.8687201,1,0,1) very rare (1-5)
13,0.7770129,0.22298712,1,0,1) very rare (1-5)
14,0.83590513,0.16409487,0,1,1) very rare (1-5)
15,0.55011255,0.44988745,1,6,2) rare (6-20)
16,0.292027,0.707973,0,5,1) very rare (1-5)
17,0.9169983,0.08300167,0,74,3) common (21-100)
18,0.79759204,0.20240796,1,2,1) very rare (1-5)
19,0.7181077,0.2818923,0,3,1) very rare (1-5)
20,0.062922254,0.93707776,1,0,1) very rare (1-5)
21,0.7417089,0.25829113,0,74,3) common (21-100)
22,0.38952425,0.6104758,1,0,1) very rare (1-5)
23,0.853878,0.14612198,1,14,2) rare (6-20)
24,0.6785204,0.32147962,0,108,4) very common (100+)
25,0.5981706,0.40182942,0,145,4) very common (100+)
26,0.096193485,0.9038065,0,7,2) rare (6-20)
27,0.29846463,0.70153534,1,20,2) rare (6-20)
28,0.1655326,0.8344674,1,10,2) rare (6-20)
29,0.21226734,0.78773266,1,0,1) very rare (1-5)
30,0.5789975,0.4210025,0,7,2) rare (6-20)
31,0.8337634,0.16623658,1,43,3) common (21-100)
32,0.20651269,0.7934873,1,1,1) very rare (1-5)
33,0.66910326,0.33089674,0,6,2) rare (6-20)
34,0.07297591,0.92702407,1,31,3) common (21-100)
35,0.15990445,0.8400955,1,0,1) very rare (1-5)
36,0.1305328,0.8694672,1,0,1) very rare (1-5)
37,0.60694647,0.39305353,1,3,1) very rare (1-5)
38,0.10970683,0.8902932,1,2,1) very rare (1-5)
39,0.46874082,0.5312592,0,84,3) common (21-100)
40,0.09680611,0.9031939,1,0,1) very rare (1-5)
41,0.08830686,0.91169316,1,0,1) very rare (1-5)
42,0.4961233,0.5038767,1,2,1) very rare (1-5)
43,0.14146109,0.8585389,0,3,1) very rare (1-5)
44,0.09482132,0.90517867,1,1,1) very rare (1-5)
45,0.43178585,0.5682142,1,0,1) very rare (1-5)
46,0.660605,0.339395,0,36,3) common (21-100)
47,0.37932804,0.620672,1,3,1) very rare (1-5)
48,0.047257446,0.9527426,0,1,1) very rare (1-5)
49,0.08949087,0.9105091,1,0,1) very rare (1-5)
50,0.14245246,0.8575475,1,8,2) rare (6-20)
51,0.81281275,0.18718725,1,2,1) very rare (1-5)
52,0.564789,0.435211,1,5,1) very rare (1-5)
53,0.75091803,0.24908197,1,44,3) common (21-100)
54,0.092375524,0.9076245,1,0,1) very rare (1-5)
55,0.17896438,0.8210356,1,3,1) very rare (1-5)
56,0.6797219,0.3202781,1,1,1) very rare (1-5)
57,0.6061127,0.39388728,0,274,4) very common (100+)
58,0.07355282,0.92644715,1,14,2) rare (6-20)
59,0.7602193,0.23978072,1,2,1) very rare (1-5)
60,0.1317021,0.86829793,0,1,1) very rare (1-5)
61,0.53036684,0.46963316,1,2,1) very rare (1-5)
62,0.67644715,0.32355285,1,123,4) very common (100+)
63,0.08415084,0.91584915,1,1,1) very rare (1-5)
64,0.6709152,0.3290848,1,30,3) common (21-100)
65,0.9681714,0.031828582,0,15,2) rare (6-20)
66,0.22020549,0.7797945,0,6,2) rare (6-20)
67,0.2318148,0.7681852,0,13,2) rare (6-20)
68,0.98738843,0.012611568,0,274,4) very common (100+)
69,0.20808922,0.79191077,1,0,1) very rare (1-5)
70,0.3237452,0.6762548,0,5,1) very rare (1-5)
71,0.3942718,0.6057282,0,14,2) rare (6-20)
72,0.030071741,0.96992826,1,2,1) very rare (1-5)
73,0.22052015,0.77947986,1,142,4) very common (100+)
74,0.17861208,0.8213879,1,0,1) very rare (1-5)
75,0.45530042,0.54469955,1,81,3) common (21-100)
76,0.2956316,0.7043684,1,30,3) common (21-100)
77,0.57190734,0.42809266,1,4,1) very rare (1-5)
78,0.21934928,0.78065073,0,2,1) very rare (1-5)
79,0.65020925,0.34979075,1,1070,4) very common (100+)
80,0.4085413,0.5914587,1,1,1) very rare (1-5)
81,0.18818222,0.81181777,1,0,1) very rare (1-5)
82,0.03786833,0.9621317,1,3,1) very rare (1-5)
83,0.91157514,0.08842486,1,1290,4) very common (100+)
84,0.07779537,0.9222046,1,1,1) very rare (1-5)
85,0.7599893,0.24001068,1,19,2) rare (6-20)
86,0.38221127,0.61778873,1,75,3) common (21-100)
87,0.011653299,0.9883467,1,24,3) common (21-100)
88,0.10561473,0.8943853,1,0,1) very rare (1-5)
89,0.34212297,0.657877,0,106,4) very common (100+)
90,0.50105304,0.49894696,0,81,3) common (21-100)
91,0.33265394,0.66734606,0,2,1) very rare (1-5)
92,0.2504215,0.7495785,1,6,2) rare (6-20)
93,0.68277764,0.31722236,1,146,4) very common (100+)
94,0.51355684,0.48644316,1,3,1) very rare (1-5)
95,0.65000874,0.34999126,0,1290,4) very common (100+)
96,0.30317765,0.69682235,1,26,3) common (21-100)
97,0.16208284,0.83791715,0,15,2) rare (6-20)
98,0.22846642,0.7715336,1,107,4) very common (100+)
99,0.7279597,0.2720403,1,1070,4) very common (100+)
100,0.29315528,0.7068447,0,96,3) common (21-100)
101,0.10391062,0.8960894,1,1,1) very rare (1-5)
102,0.62359226,0.37640774,0,118,4) very common (100+)
103,0.42720205,0.57279795,0,0,1) very rare (1-5)
104,0.9338796,0.066120386,1,54,3) common (21-100)
105,0.5965228,0.4034772,0,1290,4) very common (100+)
106,0.9957723,0.004227698,0,89,3) common (21-100)
107,0.13299428,0.8670057,1,20,2) rare (6-20)
108,0.6103694,0.38963062,0,66,3) common (21-100)
109,0.18036214,0.8196379,1,9,2) rare (6-20)
110,0.92288446,0.077115536,1,89,3) common (21-100)
111,0.2736674,0.7263326,1,16,2) rare (6-20)
112,0.050170615,0.9498294,1,0,1) very rare (1-5)
113,0.57155824,0.42844176,0,43,3) common (21-100)
114,0.10352802,0.896472,0,111,4) very common (100+)
