mol_idx,top_score,uq,pred_top1,true_reactants,error
0,0.12,0.88,O=C(Cl)c1ccccc1.O=C(OC[C@H]1O[C@H](OC(=O)c2ccccc2)C(=O)[C@@H]1O)c1ccccc1,[O:1]=[C:2]([O:3][CH2:4][C@H:5]1[O:6][C@H:7]([O:8][C:9](=[O:10])[c:11]2[cH:12][cH:13][cH:14][cH:15][cH:16]2)[C@H:17]([OH:18])[C@@H:19]1[O:20][C:21](=[O:22])[c:23]1[cH:24][cH:25][cH:26][cH:27][cH:28]1)[c:29]1[cH:30][cH:31][cH:32][cH:33][cH:34]1,1
1,0.092,0.908,CC(C)Cc1nn2ccccc2c1B1OC(C)(C)C(C)(C)O1.CS(=O)c1nccc(Cl)n1,O=C(O[OH:1])c1cccc(Cl)c1.[CH3:2][S:3][c:4]1[n:5][cH:6][cH:7][c:8](-[c:9]2[c:10]([CH2:11][CH:12]([CH3:13])[CH3:14])[n:15][n:16]3[cH:17][cH:18][cH:19][cH:20][c:21]23)[n:22]1,1
2,0.386,0.614,CCOC(OCC)[C@@H]1CN(C(=O)OCc2ccccc2)CCN1C(c1ccccc1)(c1ccccc1)c1ccccc1,[O:1]=[C:2]([O:3][CH2:4][c:5]1[cH:6][cH:7][cH:8][cH:9][cH:10]1)[N:11]1[CH2:12][CH2:13][N:14]([C:15]([c:16]2[cH:17][cH:18][cH:19][cH:20][cH:21]2)([c:22]2[cH:23][cH:24][cH:25][cH:26][cH:27]2)[c:28]2[cH:29][cH:30][cH:31][cH:32][cH:33]2)[C@H:34]([CH2:35][OH:36])[CH2:37]1,1
3,0.246,0.754,CC(C)(O)CCCBr.CC1(C)C(CCO)CC2C(=O)CCCC21C,[CH3:1][C:2]([CH3:3])([OH:4])[CH2:5][CH2:6][CH2:7][O:8][CH2:9][CH2:10][CH:11]1[CH2:12][CH:13]2[CH:14]([OH:15])[CH2:16][CH2:17][CH2:18][C:19]2([CH3:20])[C:21]1([CH3:22])[CH3:23],1
4,0.088,0.912,CCCc1nc(C)n(-c2ccc(OC(C)(C)C3(C)OCCO3)cc2)c(=O)c1Cc1ccc(-c2ccccc2-c2noc(=O)[nH]2)cc1,[CH3:1][CH2:2][CH2:3][c:4]1[c:5]([CH2:6][c:7]2[cH:8][cH:9][c:10](-[c:11]3[cH:12][cH:13][cH:14][cH:15][c:16]3-[c:17]3[n:18][o:19][c:20](=[O:21])[nH:22]3)[cH:23][cH:24]2)[c:25](=[O:26])[n:27](-[c:28]2[cH:29][cH:30][c:31]([O:32][C:33]([CH3:34])([CH3:35])[CH:36]([CH3:37])[OH:38])[cH:39][cH:40]2)[c:41]([CH3:42])[n:43]1,1
5,0.063,0.937,CCOC(=O)c1ccc(I)nc1C(F)(F)F.CCS[O-],O=C(O[OH:1])c1cccc(Cl)c1.[CH3:2][CH2:3][O:4][C:5](=[O:6])[c:7]1[cH:8][cH:9][c:10]([S:11][CH2:12][CH3:13])[n:14][c:15]1[C:16]([F:17])([F:18])[F:19],1
6,0.291,0.7090000000000001,CN(C)CCn1cc(O)c(=O)cc1C=O.ClC(c1ccccc1)c1ccccc1,[CH3:1][N:2]([CH3:3])[CH2:4][CH2:5][n:6]1[cH:7][c:8]([O:9][CH:10]([c:11]2[cH:12][cH:13][cH:14][cH:15][cH:16]2)[c:17]2[cH:18][cH:19][cH:20][cH:21][cH:22]2)[c:23](=[O:24])[cH:25][c:26]1[CH2:27][OH:28],1
7,0.364,0.636,CCS(=O)CCO.COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1O,O=S([O-])O[OH:1].[CH3:2][CH2:3][S:4][CH2:5][CH2:6][O:7][c:8]1[cH:9][c:10]2[n:11][cH:12][n:13][c:14]([NH:15][c:16]3[cH:17][cH:18][c:19]([Br:20])[cH:21][c:22]3[F:23])[c:24]2[cH:25][c:26]1[O:27][CH3:28],1
8,0.788,0.21199999999999997,NC12CC3CC(C1)CC(C=O)(C3)C2.O=C(Cl)c1cccc(Cl)c1,[O:1]=[C:2]([NH:3][C:4]12[CH2:5][CH:6]3[CH2:7][CH:8]([CH2:9][C:10]([CH2:11][OH:12])([CH2:13]3)[CH2:14]1)[CH2:15]2)[c:16]1[cH:17][cH:18][cH:19][c:20]([Cl:21])[cH:22]1,1
9,0.46,0.54,CN(C)C=O.Clc1ccc(Br)cc1,[OH:1][CH2:2][c:3]1[cH:4][c:5]([Br:6])[cH:7][cH:8][c:9]1[Cl:10],1
