mol_idx,top_score,uq,error,frequency,tier
0,0.841684,0.15831602,0,74,3) common (21-100)
1,0.16537108,0.83462894,0,0,1) very rare (1-5)
2,0.8901668,0.10983318,0,74,3) common (21-100)
3,0.4739068,0.52609324,1,0,1) very rare (1-5)
4,0.026834415,0.9731656,1,0,1) very rare (1-5)
5,0.3944397,0.6055603,0,7,2) rare (6-20)
6,0.54935294,0.45064706,0,2,1) very rare (1-5)
7,0.7426418,0.2573582,0,23,3) common (21-100)
8,0.64847165,0.35152835,1,4,1) very rare (1-5)
9,0.21142529,0.7885747,1,0,1) very rare (1-5)
10,0.642285,0.357715,0,3,1) very rare (1-5)
11,0.030827142,0.96917284,1,0,1) very rare (1-5)
12,0.84604526,0.15395474,0,1,1) very rare (1-5)
13,0.3592717,0.6407283,0,5,1) very rare (1-5)
14,0.9577606,0.042239428,0,74,3) common (21-100)
15,0.71672827,0.28327173,0,3,1) very rare (1-5)
16,0.87424636,0.12575364,0,74,3) common (21-100)
17,0.14114313,0.85885686,1,0,1) very rare (1-5)
18,0.4624298,0.53757024,1,14,2) rare (6-20)
19,0.76898557,0.23101443,0,108,4) very common (100+)
20,0.5025399,0.49746013,0,145,4) very common (100+)
21,0.0922447,0.9077553,0,7,2) rare (6-20)
22,0.18246086,0.81753916,1,10,2) rare (6-20)
23,0.19946463,0.8005354,1,0,1) very rare (1-5)
24,0.43458283,0.5654172,0,7,2) rare (6-20)
25,0.67001486,0.32998514,1,43,3) common (21-100)
26,0.16780823,0.83219177,1,1,1) very rare (1-5)
27,0.8657385,0.13426149,0,6,2) rare (6-20)
28,0.10172971,0.8982703,1,31,3) common (21-100)
29,0.29043907,0.70956093,1,0,1) very rare (1-5)
30,0.25067312,0.7493269,1,0,1) very rare (1-5)
31,0.6196527,0.3803473,1,3,1) very rare (1-5)
32,0.2243004,0.7756996,1,2,1) very rare (1-5)
33,0.4513485,0.54865146,0,84,3) common (21-100)
34,0.3619169,0.6380831,1,0,1) very rare (1-5)
35,0.035592504,0.9644075,0,0,1) very rare (1-5)
36,0.4587067,0.54129326,1,2,1) very rare (1-5)
37,0.064306565,0.93569344,0,3,1) very rare (1-5)
38,0.13773505,0.86226493,1,1,1) very rare (1-5)
39,0.54882324,0.45117676,1,0,1) very rare (1-5)
40,0.27339676,0.72660327,0,36,3) common (21-100)
41,0.49823362,0.5017664,1,3,1) very rare (1-5)
42,0.061098352,0.93890166,1,1,1) very rare (1-5)
43,0.12484195,0.8751581,1,0,1) very rare (1-5)
44,0.37039876,0.62960124,0,8,2) rare (6-20)
45,0.92132187,0.07867813,1,2,1) very rare (1-5)
46,0.7863232,0.21367681,1,5,1) very rare (1-5)
47,0.30762056,0.6923795,1,44,3) common (21-100)
48,0.09270553,0.90729445,1,0,1) very rare (1-5)
49,0.051754057,0.94824594,1,3,1) very rare (1-5)
50,0.7834165,0.21658349,1,1,1) very rare (1-5)
51,0.5043506,0.4956494,0,274,4) very common (100+)
52,0.10787444,0.89212555,1,14,2) rare (6-20)
53,0.7735376,0.22646242,1,2,1) very rare (1-5)
54,0.08098675,0.91901326,0,1,1) very rare (1-5)
55,0.52744776,0.47255224,1,2,1) very rare (1-5)
56,0.29507202,0.704928,1,123,4) very common (100+)
57,0.06547543,0.9345246,1,1,1) very rare (1-5)
58,0.52863085,0.47136915,1,30,3) common (21-100)
59,0.90520275,0.09479725,0,15,2) rare (6-20)
60,0.42895544,0.57104456,0,6,2) rare (6-20)
61,0.3031195,0.69688046,1,13,2) rare (6-20)
62,0.9766317,0.023368299,0,274,4) very common (100+)
63,0.08133128,0.91866875,1,0,1) very rare (1-5)
64,0.32945883,0.67054117,0,5,1) very rare (1-5)
65,0.117993176,0.8820068,0,14,2) rare (6-20)
66,0.06801038,0.9319896,1,2,1) very rare (1-5)
67,0.24527256,0.7547274,1,142,4) very common (100+)
68,0.055699054,0.94430095,1,0,1) very rare (1-5)
69,0.3111594,0.6888406,1,81,3) common (21-100)
70,0.31156358,0.6884364,1,30,3) common (21-100)
71,0.18861377,0.8113862,1,4,1) very rare (1-5)
72,0.3937169,0.60628307,1,2,1) very rare (1-5)
73,0.5002605,0.49973953,1,1070,4) very common (100+)
74,0.519944,0.480056,1,1,1) very rare (1-5)
75,0.03214312,0.9678569,1,0,1) very rare (1-5)
76,0.107020006,0.89298,0,3,1) very rare (1-5)
77,0.8585898,0.14141017,1,1290,4) very common (100+)
78,0.16723546,0.8327645,1,1,1) very rare (1-5)
79,0.755011,0.24498898,1,19,2) rare (6-20)
80,0.39276385,0.60723615,0,75,3) common (21-100)
81,0.011249484,0.9887505,1,24,3) common (21-100)
82,0.06099529,0.9390047,1,0,1) very rare (1-5)
83,0.24086954,0.7591305,0,106,4) very common (100+)
84,0.57406497,0.42593503,0,81,3) common (21-100)
85,0.29325154,0.7067485,0,2,1) very rare (1-5)
86,0.32140803,0.67859197,1,6,2) rare (6-20)
87,0.74489963,0.25510037,1,146,4) very common (100+)
88,0.85361546,0.14638454,1,3,1) very rare (1-5)
89,0.75424534,0.24575466,0,1290,4) very common (100+)
90,0.24749215,0.75250787,1,26,3) common (21-100)
91,0.08977004,0.91023,0,15,2) rare (6-20)
92,0.21731526,0.78268474,1,107,4) very common (100+)
93,0.6029645,0.39703548,1,1070,4) very common (100+)
94,0.26782188,0.7321781,0,96,3) common (21-100)
95,0.26870635,0.7312937,1,1,1) very rare (1-5)
96,0.33836928,0.66163075,0,118,4) very common (100+)
97,0.3820971,0.6179029,0,0,1) very rare (1-5)
98,0.5496979,0.45030212,1,54,3) common (21-100)
99,0.76224333,0.23775667,0,1290,4) very common (100+)
100,0.99621046,0.003789544,0,89,3) common (21-100)
101,0.73761594,0.26238406,0,66,3) common (21-100)
102,0.23615661,0.7638434,1,9,2) rare (6-20)
103,0.96797645,0.03202355,1,89,3) common (21-100)
104,0.6076501,0.3923499,1,16,2) rare (6-20)
105,0.21879563,0.78120434,1,0,1) very rare (1-5)
106,0.53147453,0.46852547,0,43,3) common (21-100)
107,0.07501938,0.92498064,1,111,4) very common (100+)
108,0.35657653,0.64342344,0,145,4) very common (100+)
109,0.011339535,0.98866045,1,1,1) very rare (1-5)
110,0.78989303,0.21010697,0,70,3) common (21-100)
111,0.4691991,0.53080094,0,94,3) common (21-100)
112,0.8952201,0.1047799,0,123,4) very common (100+)
113,0.27949324,0.7205068,1,33,3) common (21-100)
114,0.49108794,0.5089121,1,0,1) very rare (1-5)
115,0.39901558,0.60098445,1,0,1) very rare (1-5)
116,0.94253874,0.05746126,0,700,4) very common (100+)
117,0.47000954,0.52999043,0,37,3) common (21-100)
118,0.8635983,0.13640171,0,52,3) common (21-100)
119,0.48735622,0.5126438,1,0,1) very rare (1-5)
120,0.20203753,0.7979625,1,2,1) very rare (1-5)
121,0.2384825,0.7615175,1,0,1) very rare (1-5)
122,0.25057366,0.74942636,0,106,4) very common (100+)
123,0.30222964,0.69777036,1,11,2) rare (6-20)
124,0.13468991,0.8653101,1,2,1) very rare (1-5)
125,0.83350074,0.16649926,0,6,2) rare (6-20)
126,0.17764327,0.8223567,0,1,1) very rare (1-5)
127,0.9772809,0.022719085,0,274,4) very common (100+)
128,0.25156358,0.74843645,1,0,1) very rare (1-5)
129,0.78263485,0.21736515,0,78,3) common (21-100)
130,0.6585149,0.34148508,1,0,1) very rare (1-5)
131,0.5550012,0.4449988,0,1290,4) very common (100+)
132,0.3990391,0.6009609,0,1070,4) very common (100+)
133,0.98830825,0.011691749,0,343,4) very common (100+)
134,0.7577283,0.24227172,0,74,3) common (21-100)
135,0.28647536,0.71352464,0,66,3) common (21-100)
136,0.2037331,0.7962669,1,2,1) very rare (1-5)
137,0.25864998,0.74135005,1,13,2) rare (6-20)
138,0.5121978,0.4878022,0,5,1) very rare (1-5)
139,0.45298058,0.5470194,1,166,4) very common (100+)
140,0.015818575,0.9841814,1,3,1) very rare (1-5)
141,0.21228471,0.7877153,1,1,1) very rare (1-5)
142,0.4447057,0.5552943,0,33,3) common (21-100)
143,0.7004153,0.2995847,0,178,4) very common (100+)
144,0.3501265,0.6498735,1,5,1) very rare (1-5)
145,0.6431285,0.3568715,0,1290,4) very common (100+)
146,0.05061074,0.9493893,0,33,3) common (21-100)
147,0.027792612,0.97220737,1,0,1) very rare (1-5)
148,0.2505356,0.7494644,0,33,3) common (21-100)
149,0.80772775,0.19227225,0,9,2) rare (6-20)
150,0.85724145,0.14275855,1,8,2) rare (6-20)
151,0.88302845,0.11697155,0,39,3) common (21-100)
152,0.2292675,0.7707325,1,4,1) very rare (1-5)
153,0.26912814,0.73087186,1,10,2) rare (6-20)
154,0.15412769,0.8458723,1,0,1) very rare (1-5)
155,0.3088068,0.6911932,1,76,3) common (21-100)
156,0.24822737,0.75177264,0,4,1) very rare (1-5)
157,0.12469927,0.8753007,1,160,4) very common (100+)
158,0.072273925,0.9277261,1,4,1) very rare (1-5)
159,0.7514957,0.24850428,1,7,2) rare (6-20)
160,0.10202131,0.89797866,0,4,1) very rare (1-5)
161,0.38428843,0.61571157,0,223,4) very common (100+)
162,0.16331764,0.8366824,1,8,2) rare (6-20)
163,0.4221784,0.5778216,1,0,1) very rare (1-5)
164,0.19550952,0.80449045,1,26,3) common (21-100)
165,0.62703574,0.37296426,1,1290,4) very common (100+)
166,0.8614575,0.13854247,0,105,4) very common (100+)
167,0.43111566,0.5688844,1,1,1) very rare (1-5)
168,0.18556817,0.81443185,1,2,1) very rare (1-5)
169,0.43398413,0.56601584,1,15,2) rare (6-20)
170,0.28802586,0.71197414,0,102,4) very common (100+)
171,0.91646504,0.083534956,0,1070,4) very common (100+)
172,0.8783446,0.121655405,0,15,2) rare (6-20)
173,0.92223734,0.07776266,0,1070,4) very common (100+)
174,0.44688457,0.5531154,0,79,3) common (21-100)
175,0.7326933,0.2673067,0,1070,4) very common (100+)
176,0.07027623,0.92972374,1,36,3) common (21-100)
177,0.7671258,0.23287421,0,66,3) common (21-100)
178,0.94236416,0.057635844,0,1070,4) very common (100+)
179,0.99535406,0.0046459436,0,211,4) very common (100+)
180,0.36745864,0.63254136,1,81,3) common (21-100)
181,0.068854086,0.9311459,1,10,2) rare (6-20)
182,0.22632787,0.7736721,1,1,1) very rare (1-5)
183,0.93021303,0.069786966,0,1070,4) very common (100+)
184,0.0649324,0.9350676,1,2,1) very rare (1-5)
185,0.41159722,0.58840275,1,20,2) rare (6-20)
186,0.49076444,0.50923556,1,5,1) very rare (1-5)
187,0.0789013,0.9210987,0,4,1) very rare (1-5)
188,0.7164878,0.28351218,0,4,1) very rare (1-5)
189,0.552944,0.447056,0,6,2) rare (6-20)
190,0.9414118,0.058588207,1,45,3) common (21-100)
191,0.47219956,0.52780044,0,108,4) very common (100+)
192,0.38484147,0.61515856,0,44,3) common (21-100)
193,0.7108655,0.2891345,1,30,3) common (21-100)
194,0.28352687,0.7164731,1,96,3) common (21-100)
195,0.8723926,0.1276074,0,70,3) common (21-100)
196,0.16322945,0.83677053,1,0,1) very rare (1-5)
197,0.04654205,0.95345795,1,2,1) very rare (1-5)
198,0.08725763,0.9127424,1,2,1) very rare (1-5)
199,0.41323864,0.58676136,1,372,4) very common (100+)
200,0.48508272,0.51491725,1,0,1) very rare (1-5)
201,0.11591847,0.88408154,1,11,2) rare (6-20)
202,0.3586063,0.64139366,1,0,1) very rare (1-5)
203,0.3383895,0.6616105,0,274,4) very common (100+)
204,0.43426454,0.56573546,0,99,3) common (21-100)
205,0.22634402,0.773656,1,5,1) very rare (1-5)
206,0.6724955,0.32750452,0,1290,4) very common (100+)
207,0.6261901,0.37380987,0,5,1) very rare (1-5)
208,0.24777447,0.7522255,1,1,1) very rare (1-5)
209,0.7908019,0.20919812,0,121,4) very common (100+)
210,0.41205576,0.58794427,1,1,1) very rare (1-5)
211,0.71557945,0.28442055,0,118,4) very common (100+)
212,0.9610052,0.03899479,0,118,4) very common (100+)
213,0.42572734,0.57427263,1,1,1) very rare (1-5)
214,0.348169,0.65183103,0,6,2) rare (6-20)
215,0.29569724,0.7043028,1,4,1) very rare (1-5)
216,0.16915533,0.83084464,0,4,1) very rare (1-5)
217,0.17750053,0.82249945,1,1,1) very rare (1-5)
218,0.57952213,0.42047787,0,1290,4) very common (100+)
219,0.47822136,0.52177864,1,9,2) rare (6-20)
220,0.58652663,0.41347337,0,8,2) rare (6-20)
221,0.40856266,0.59143734,1,9,2) rare (6-20)
222,0.8591804,0.14081961,1,237,4) very common (100+)
223,0.70796466,0.29203534,0,261,4) very common (100+)
224,0.29476592,0.70523405,1,3,1) very rare (1-5)
225,0.09924179,0.9007582,1,3,1) very rare (1-5)
226,0.8677662,0.1322338,0,108,4) very common (100+)
227,0.67237824,0.32762176,0,118,4) very common (100+)
228,0.18412098,0.815879,1,9,2) rare (6-20)
229,0.56908774,0.43091226,0,22,3) common (21-100)
230,0.055049956,0.94495004,1,3,1) very rare (1-5)
231,0.20047212,0.7995279,1,145,4) very common (100+)
232,0.7456321,0.2543679,1,84,3) common (21-100)
233,0.4825805,0.51741946,1,33,3) common (21-100)
234,0.8945054,0.10549462,1,8,2) rare (6-20)
235,0.3160436,0.6839564,1,1,1) very rare (1-5)
236,0.28193697,0.718063,0,39,3) common (21-100)
237,0.6204352,0.37956482,0,1070,4) very common (100+)
238,0.9173945,0.08260548,0,1070,4) very common (100+)
239,0.76130307,0.23869693,0,39,3) common (21-100)
240,0.30037245,0.6996275,0,3,1) very rare (1-5)
241,0.51426554,0.48573446,1,92,3) common (21-100)
242,0.15729871,0.8427013,1,0,1) very rare (1-5)
243,0.40255958,0.5974404,1,2,1) very rare (1-5)
244,0.19393252,0.80606747,1,5,1) very rare (1-5)
245,0.8892445,0.1107555,0,421,4) very common (100+)
246,0.1450026,0.8549974,1,0,1) very rare (1-5)
247,0.14152576,0.85847425,0,0,1) very rare (1-5)
248,0.31525996,0.68474007,1,16,2) rare (6-20)
249,0.16487686,0.8351231,1,0,1) very rare (1-5)
250,0.44048575,0.5595143,0,1070,4) very common (100+)
251,0.4156021,0.5843979,1,14,2) rare (6-20)
252,0.9379269,0.06207311,0,47,3) common (21-100)
253,0.5367362,0.4632638,1,0,1) very rare (1-5)
254,0.07158534,0.92841464,0,18,2) rare (6-20)
255,0.98652726,0.013472736,0,700,4) very common (100+)
256,0.80148286,0.19851714,1,79,3) common (21-100)
257,0.9587061,0.04129392,0,178,4) very common (100+)
258,0.8205821,0.17941791,0,261,4) very common (100+)
259,0.6934904,0.3065096,0,105,4) very common (100+)
260,0.48832932,0.5116707,0,5,1) very rare (1-5)
261,0.7977803,0.20221972,0,2,1) very rare (1-5)
262,0.02908139,0.9709186,1,0,1) very rare (1-5)
263,0.13236941,0.8676306,1,6,2) rare (6-20)
264,0.44733626,0.55266374,0,19,2) rare (6-20)
265,0.29322898,0.706771,1,0,1) very rare (1-5)
266,0.21154335,0.7884567,1,3,1) very rare (1-5)
267,0.814393,0.18560702,0,372,4) very common (100+)
268,0.56990963,0.43009037,0,2,1) very rare (1-5)
269,0.92097586,0.079024136,0,1070,4) very common (100+)
270,0.23317459,0.76682544,1,58,3) common (21-100)
271,0.35888812,0.64111185,1,372,4) very common (100+)
272,0.77611035,0.22388965,0,1290,4) very common (100+)
273,0.65459573,0.34540427,1,0,1) very rare (1-5)
274,0.15913899,0.840861,1,4,1) very rare (1-5)
275,0.32453486,0.6754651,1,58,3) common (21-100)
276,0.4888546,0.5111454,0,5,1) very rare (1-5)
277,0.56176645,0.43823355,1,66,3) common (21-100)
278,0.49307504,0.506925,0,52,3) common (21-100)
279,0.87002313,0.12997687,1,178,4) very common (100+)
280,0.72189623,0.27810377,0,5,1) very rare (1-5)
281,0.88816065,0.111839354,0,29,3) common (21-100)
282,0.5001915,0.4998085,0,1290,4) very common (100+)
283,0.8232481,0.17675191,1,7,2) rare (6-20)
284,0.93404233,0.065957665,0,105,4) very common (100+)
285,0.6009303,0.39906973,1,24,3) common (21-100)
286,0.8862261,0.11377388,0,94,3) common (21-100)
287,0.6728993,0.3271007,1,0,1) very rare (1-5)
288,0.6569874,0.34301257,1,2,1) very rare (1-5)
289,0.36026865,0.63973135,0,23,3) common (21-100)
290,0.9294809,0.07051909,0,1070,4) very common (100+)
291,0.458688,0.541312,0,79,3) common (21-100)
292,0.17237115,0.82762885,1,0,1) very rare (1-5)
293,0.09333539,0.9066646,1,5,1) very rare (1-5)
294,0.41908205,0.58091795,1,134,4) very common (100+)
295,0.17177013,0.8282299,1,700,4) very common (100+)
296,0.06615628,0.93384373,1,0,1) very rare (1-5)
297,0.0677649,0.9322351,1,1,1) very rare (1-5)
298,0.6815655,0.31843448,0,6,2) rare (6-20)
299,0.15784341,0.8421566,1,0,1) very rare (1-5)
300,0.37811834,0.62188166,0,13,2) rare (6-20)
301,0.50647414,0.49352586,1,1,1) very rare (1-5)
302,0.46395963,0.53604037,0,11,2) rare (6-20)
303,0.20831403,0.79168594,0,1,1) very rare (1-5)
304,0.6476789,0.3523211,1,107,4) very common (100+)
305,0.25923803,0.740762,1,28,3) common (21-100)
306,0.92378235,0.07621765,0,99,3) common (21-100)
307,0.82318586,0.17681414,1,5,1) very rare (1-5)
308,0.8543036,0.1456964,0,4,1) very rare (1-5)
309,0.2727245,0.7272755,0,0,1) very rare (1-5)
310,0.38907263,0.61092734,0,23,3) common (21-100)
311,0.81546533,0.18453467,0,6,2) rare (6-20)
312,0.7284409,0.27155912,1,268,4) very common (100+)
313,0.8475514,0.1524486,0,76,3) common (21-100)
314,0.91741383,0.08258617,0,12,2) rare (6-20)
315,0.31575176,0.6842482,1,79,3) common (21-100)
316,0.078238726,0.9217613,0,6,2) rare (6-20)
317,0.304464,0.695536,1,105,4) very common (100+)
318,0.9787161,0.021283925,0,182,4) very common (100+)
319,0.51875114,0.48124886,1,106,4) very common (100+)
320,0.052904863,0.94709516,1,274,4) very common (100+)
321,0.14317638,0.8568236,1,268,4) very common (100+)
322,0.69190043,0.30809957,0,1290,4) very common (100+)
323,0.7834584,0.21654159,0,10,2) rare (6-20)
324,0.74200046,0.25799954,0,106,4) very common (100+)
325,0.12931049,0.8706895,1,2,1) very rare (1-5)
326,0.8879128,0.11208719,0,4,1) very rare (1-5)
327,0.21700878,0.78299123,0,1,1) very rare (1-5)
328,0.54620236,0.45379764,0,14,2) rare (6-20)
329,0.8986771,0.10132289,1,0,1) very rare (1-5)
330,0.10198075,0.89801925,1,3,1) very rare (1-5)
331,0.39933452,0.60066545,0,1070,4) very common (100+)
332,0.70759875,0.29240125,0,1290,4) very common (100+)
333,0.60947436,0.39052564,1,38,3) common (21-100)
334,0.65968937,0.34031063,1,23,3) common (21-100)
335,0.77490467,0.22509533,0,372,4) very common (100+)
336,0.33656722,0.6634328,1,1,1) very rare (1-5)
337,0.8534321,0.14656788,0,700,4) very common (100+)
338,0.8291907,0.17080933,0,121,4) very common (100+)
339,0.12094499,0.879055,0,58,3) common (21-100)
340,0.21347591,0.78652406,1,3,1) very rare (1-5)
341,0.7858909,0.21410912,1,268,4) very common (100+)
342,0.6581631,0.34183693,0,13,2) rare (6-20)
343,0.09085883,0.9091412,1,0,1) very rare (1-5)
344,0.4412571,0.5587429,0,2,1) very rare (1-5)
345,0.104200274,0.89579976,1,0,1) very rare (1-5)
346,0.68391544,0.31608456,0,49,3) common (21-100)
347,0.8502719,0.14972812,0,700,4) very common (100+)
348,0.564398,0.435602,0,46,3) common (21-100)
349,0.67104423,0.32895577,1,1,1) very rare (1-5)
350,0.2470742,0.7529258,0,23,3) common (21-100)
351,0.6409076,0.3590924,1,81,3) common (21-100)
352,0.8204062,0.1795938,0,1070,4) very common (100+)
353,0.5418456,0.45815438,0,108,4) very common (100+)
354,0.34817824,0.65182173,1,1290,4) very common (100+)
355,0.7206662,0.27933377,1,58,3) common (21-100)
356,0.10013711,0.8998629,1,4,1) very rare (1-5)
357,0.46825236,0.53174764,0,145,4) very common (100+)
358,0.5002226,0.49977738,1,1290,4) very common (100+)
359,0.066935465,0.9330645,1,0,1) very rare (1-5)
360,0.90560997,0.094390035,1,16,2) rare (6-20)
361,0.06908403,0.93091595,1,1,1) very rare (1-5)
362,0.49585107,0.50414896,1,1290,4) very common (100+)
363,0.8647637,0.13523632,0,166,4) very common (100+)
364,0.6033565,0.39664352,0,1070,4) very common (100+)
365,0.20207569,0.7979243,1,1,1) very rare (1-5)
366,0.69891214,0.30108786,0,74,3) common (21-100)
367,0.945875,0.05412501,0,142,4) very common (100+)
368,0.79684365,0.20315635,1,99,3) common (21-100)
369,0.19802122,0.80197877,1,24,3) common (21-100)
370,0.20113581,0.7988642,0,12,2) rare (6-20)
371,0.046904895,0.9530951,0,6,2) rare (6-20)
372,0.20580398,0.794196,1,166,4) very common (100+)
373,0.11547871,0.8845213,0,3,1) very rare (1-5)
374,0.53175074,0.46824926,1,166,4) very common (100+)
375,0.75452656,0.24547344,1,17,2) rare (6-20)
376,0.34397748,0.65602255,0,421,4) very common (100+)
377,0.16772686,0.8322731,1,3,1) very rare (1-5)
378,0.15554221,0.8444578,1,3,1) very rare (1-5)
379,0.52388835,0.47611165,0,160,4) very common (100+)
380,0.042468674,0.95753133,1,0,1) very rare (1-5)
381,0.7329552,0.26704478,0,78,3) common (21-100)
382,0.14462626,0.85537374,1,0,1) very rare (1-5)
383,0.9006169,0.099383116,1,275,4) very common (100+)
